Order ID ,Order Data,Customer ID ,Product ID,Product ,Quantity ,Customer Name,Email,Country,Column1,Size,unit price,Sales,Imported ,Exported ,Loyality card 
QEV-374567-875,21/02/2019,17686-51939-MA,H-T-9,Mouse,2,Dora,dora8@gmail.com,Iceland,Electronic,2 unit ,1,13,8,3,Yes
QEV-374568-876,22/09/2019,17688-51939-MA,O-P-2,Pen,7,Dorien,dorieee@gmail.com,Canada,Electronic,Balpoint,0.01,18,13,0,Yes
QEV-374569-877,23/02/2019,17689-51939-MA,Z-T-3,Pen,2,Danyal,danyal@gmail.com,UK,Electronic,Balpoint,0.1,13,8,3,Yes
QEV-37470-878,24/01/2019,17690-51939-MA,R-M-3,Fan,1,Zaid,zaid@gmail.com,Pakistan,Electronic,Remote,20,12,7,4,NO
QEV-37471-879,25/09/2024,17691-51939-MA,K-T-2,Fan,5,Zawar,zawar@gmail.com,UK,Electronic,Remote,20,16,11,0,Yes
QEV-37472-880,26/02/2019,17670921939-MA,B-N-9,Fan,7,Zeshan ,zehan@gmail.com,UK,Electronic,Remote,20,18,13,0,NO
QEV-37473-881,27/09/2019,17693-51939-MA,L-W-7,AC,3,Mosa,mosa@gmail.com,Canada,Japan Electronic,,234,14,9,2,Yes
QEV-37474-882,28/03/2019,17694-51939-MA,R-M-1,Fan,9,Arham,arham@gmail.com,UK,Electronic,Remote,20,20,15,0,Yes
QEV-37475-883,29/07/2019,17695-51939-MA,Z-T-3,Blub,2,Ahad,ahad67@gmail.com,Germany,Electronic,20 watt,12,13,8,3,Yes
QEV-37476-884,30/05/2019,17696-51939-MA,H-T-9,Phone,3,Najam ,najam@gmail.com,Iceland,Electronic,Ipone,2,14,9,2,Yes
QEV-37477-885,01/10/2019,17697-51939-MA,L-W-7,Laptop,2,Rehman ,rehman@gmail.com,UK,Electronic,Core i5,70,13,8,3,Yes
QEV-37478-886,02/10/2019,17698-51939-MA,Z-T-3,Phone,2,Daud,daud@gmail.com,Germany,Electronic,Android,2,13,8,3,Yes
QEV-37479-887,03/10/2019,17699-51939-MA,L-W-7,Mouse,6,Qamar,qamar@gmail.com,Pakistan,Electronic,Digital,1,17,12,0,NO
QEV-37451-888,04/03/2019,17670-51939-NZ,O-P-2,Phone,2,Skinder,skinder@gmail.com,UK,Electronic,Android,2,13,8,3,NO
QEV-37451-889,05/10/2019,17670-51939-ME,B-N-9,Phone,3,Shahbaz,shahbaz@gmail.com,Germany,Electronic,Android,2,14,9,2,NO
QEV-37451-890,06/10/2019,17670-51940-ME,L-W-7,Phone,4,Danyal,danyal009@gmail.com,Canada,Electronic,Android,2,15,10,1,NO
QEV-37451-891,07/04/2024,17670-51941-ME,K-T-2,Phone,5,Subhan,subna@gmail.com,Italy,Electronic,Ipone,2,16,11,0,NO
QEV-37451-892,08/04/2019,17670-51942-ME,L-W-7,Blub,5,Shan,shan00@gmail.com,Germany,Electronic,20 watt,12,16,11,0,NO
QEV-37451-893,09/04/2019,17670-51943-ME,R-M-1,AC,5,Roman,roman@gmail.com,Italy,Japan Electronic,,340,16,11,0,Yes
QEV-37451-894,10/03/2019,17670-51945-ME,R-M-3,Laptop,6,Tayyab,trayyab@gmail.com,UK,Electronic,Core i5,70,17,12,0,Yes
QEV-37451-895,11/05/2019,17670-51946-ME,Z-T-3,Blub,1,Kashif,kashif@gmail.com,Dubi,Electronic,20 watt,12,12,7,4,Yes
QEV-37451-896,12/05/2019,17670-51947-ME,H-T-9,Fan,7,Ali,ali990@gmail.com,Italy,Electronic,Remote,23,18,13,0,Yes
QEV-37451-897,13/05/2023,17670-51948-ME,L-W-7,Blub,2,Vivi,vivi90090@gmail.com,Canada,Electronic,20 watt,12,13,8,3,Yes
QEV-37451-898,14/10/2019,17670-51949-ME,G-T-8,Phone,5,Ahsan,ahsna@gmail.com,UK,Electronic,Android,2,16,11,0,Yes
QEV-37451-899,15/06/2019,17670-51950-ME,R-J-4,Mouse,2,Ahad mir,ahadm09@gmail.com,UK,Electronic,Digital,1,13,8,3,NO
QEV-37451-900,16/06/2019,17670-51958-ME,K-T-2,Phone,9,Sarmad ,sarmad34@gmail.com,Iceland,Electronic,Android,2,20,15,0,NO
QEV-37451-901,17/10/2023,17670-51952-ME,O-P-2,Phone,1,Moin ,moin32@gmail.com,Germany,Electronic,Ipone,2,12,7,4,NO
QEV-37451-902,18/10/2019,17670-51953-ME,B-N-9,Washing Machine,5,Sana,sana56@gmail.com,Pakistan,Japan Electronic,Automatic,340,16,11,0,NO
QEV-37451-903,19/06/2019,17670-51954-ME,R-M-3,Washing Machine,1,Amna,amna56@gmail.com,Italy,Japan Electronic,Automatic,500,12,7,4,Yes
QEV-37451-904,20/01/2019,17670-51955-ME,Z-T-3,Washing Machine,9,Juan,juan56@gmail.com,uk,Japan Electronic,,590,20,15,0,NO
QEV-37451-905,21/07/2019,17670-51956-ME,H-T-9,Laptop,1,Doug,doug56@gmail.com,Iceland,Electronic,Core i5,70,12,7,4,Yes
QEV-37451-906,22/07/2019,17670-51973-ME,L-W-7,AC,4,Charlie,charlie56@gmail.com,Pakistan,Electronic,,340,15,10,1,NO
QEV-37451-907,23/08/2019,17670-51958-ME,Z-T-3,Blub,5,Doug,doug56@gmail.com,UK,Electronic,,12,16,11,0,NO
QEV-37451-908,24/08/2019,17670-51959-ME,G-T-8,Washing Machine,2,Helen,helen56@gmail.com,Pakistan,Japan Electronic,Digital,340,13,8,3,NO
QEV-37451-909,25/08/2019,17670-51960-ME,B-N-9,Fan,2,Doug,doug56@gmail.com,Canada,Electronic,Automatic,30,13,8,3,Yes
QEV-37451-910,26/09/2023,17670-51961-ME,R-J-4,Blub,3,Doug,doug56@gmail.com,UK,Electronic,,12,14,9,2,Yes
QEV-37451-911,27/11/2019,16820-62826-QW,R-M-3,Phone,2,Juan,juan56@gmail.com,Germany,Electronic,Ipone,2,13,8,3,Yes
QEV-37451-912,28/12/2019,16820-62836-QW,K-T-2,Phone,2,Doug,doug56@gmail.com,Italy,Electronic,Ipone,2,13,8,3,Yes
QEV-37451-913,29/12/2024,16820-62846-QW,O-P-2,phone,2,Helen,helen56@gmail.com,UK,Electronic,Ipone,2,13,8,3,Yes
QEV-37451-914,30/10/2019,16820-62526-QW,R-M-1,Laptop,2,Charlie,charlie56@gmail.com,Iceland,Electronic,Core i5,70,13,8,3,Yes
QEV-37451-915,31/05/2019,16820-62866-QW,B-N-9,AC,3,Helen,helen56@gmail.com,Canada,Japan Electronic,2 Ton ,340,14,9,2,Yes
QEV-37451-916,01/05/2019,16820-62876-QW,Z-T-3,AC,2,Juan,juan56@gmail.com,UK,Japan Electronic,3 Ton ,340,13,8,3,Yes
QEV-37451-917,02/11/2023,16820-62886-QW,H-T-9,Mouse,2,Doug,doug56@gmail.com,Dubi,Electronic,Digital,1,13,8,3,NO
QEV-37451-918,03/11/2019,16820-62896-QW,G-T-8,AC,1,Helen,helen56@gmail.com,Italy,Japan Electronic,3 Ton ,340,12,7,4,NO
QEV-37451-919,04/11/2019,16820-62800-QW,L-W-7,Camera,1,Charlie,charlie56@gmail.com,UK,Japan Electronic,Digital,21,12,7,4,NO
QEV-37451-920,05/11/2019,16820-62828-QW,B-N-9,Washing Machine,1,Doug,doug56@gmail.com,Germany,Japan Electronic,,500,12,7,4,NO
QEV-37451-921,06/11/2023,16820-62876-QW,R-M-3,Phone,4,Juan,juan56@gmail.com,Canada,Electronic,Ipone,2,15,10,1,Yes
QEV-37451-922,07/11/2022,16820-62823-QW,K-T-2,Phone,4,Helen,helen56@gmail.com,Italy,Electronic,Ipone,2,15,10,1,Yes
QEV-37451-923,08/11/2019,16820-62829-QW,R-M-1,Blub,3,Charlie,charlie56@gmail.com,Iceland,Electronic,,12,14,9,2,Yes
QEV-37451-924,09/07/2019,17383-76832-SD1,O-P-2,Fan,2,Juan,juan56@gmail.com,Dubi,Electronic,Digital,32,13,8,3,Yes
QEV-37451-925,10/12/2019,17383-76832-SD2,Z-T-3,Camera,3,Doug,doug56@gmail.com,UK,Electronic,Digital,21,14,9,2,Yes
QEV-37451-926,11/11/2019,17383-76832-SD3,B-N-9,Laptop,2,Charlie,charlie56@gmail.com,Germany,Electronic,Core i5,70,13,8,3,Yes
QEV-37451-927,12/11/2019,17383-76832-SD4,G-T-8,Phone,3,Doug,doug56@gmail.com,Canada,Electronic,Ipone,2,14,9,2,Yes
QEV-37451-928,13/11/2019,17383-76832-SD5,Z-T-3,Phone,3,Helen,helen56@gmail.com,UK,Electronic,Ipone,2,14,9,2,Yes
QEV-37451-929,14/11/2019,17383-76832-SD6,H-T-9,AC,3,Doug,doug56@gmail.com,UK,Japan Electronic,,340,14,9,2,Yes
QEV-37451-930,15/11/2019,17383-76832-SD7,R-M-3,AC,3,Doug,doug56@gmail.com,Canada,Japan Electronic,,340,14,9,2,Yes
QEV-37451-931,16/11/2019,17383-76832-SD8,O-P-2,AC,3,Juan,juan56@gmail.com,UK,Exported ,,340,14,9,2,Yes
QEV-37451-932,17/11/2019,17383-76832-SD9,R-J-4,Washing Machine,3,Doug,doug56@gmail.com,Pakistan,Japan Electronic,Digital,500,14,9,2,Yes
QEV-37451-933,18/08/2019,17383-76832-SD10,I-O-6,Phone,3,Helen,helen56@gmail.com,Dubi,Electronic,Ipone,2,14,9,2,Yes
QEV-37451-934,19/08/2019,17383-76832-SD11,L-W-7,Mouse,2,Charlie,charlie56@gmail.com,UK,Electronic,Digital,1,13,8,3,NO
QEV-37451-935,20/11/2020,17383-76832-SD12,B-N-9,Mouse,6,Helen,helen56@gmail.com,Germany,Electronic,Digital,1,17,12,0,NO
QEV-37451-936,21/08/2020,17383-76832-SD13,R-M-1,Mouse,9,Juan,juan56@gmail.com,UK,Electronic,Digital,1,20,15,0,Yes
QEV-37451-937,22/11/2019,17383-76832-SD14,K-T-2,Mouse,4,Doug,doug56@gmail.com,Italy,Electronic,Digital,1,15,10,1,Yes
QEV-37451-938,23/08/2020,21539-63283-UT1,Z-T-3,Phone,6,Helen,helen56@gmail.com,Pakistan,Electronic,Ipone,2,17,12,0,Yes
QEV-37451-939,24/11/2019,21539-63283-UT2,O-P-2,AC,8,Charlie,charlie56@gmail.com,Iceland,Japan Electronic,,340,19,14,0,NO
QEV-37451-940,25/11/2019,21539-63283-UT3,R-J-4,AC,4,Doug,doug56@gmail.com,Dubi,Japan Electronic,,340,15,10,1,Yes
QEV-37451-941,26/11/2019,21539-63283-UT4,H-T-9,Washing Machine,5,Juan,juan56@gmail.com,Italy,Japan Electronic,Digital,500,16,11,0,NO
QEV-37451-942,27/11/2019,21539-63283-UT5,G-T-8,Camera,3,Helen,helen56@gmail.com,UK,Japan Electronic,Digital,32,14,9,2,Yes
QEV-37451-943,28/11/2019,21539-63283-UT6,L-W-7,AC,6,Smith,smith56@gmail.com,Canada,Japan Electronic,,340,17,12,0,Yes
QEV-37451-944,29/11/2019,21539-63283-UT7,B-N-9,AC,3,Smith,smith56@gmail.com,UK,Japan Electronic,,340,14,9,2,Yes
QEV-37451-945,30/11/2019,21539-63283-UT8,R-J-4,Mouse,5,Hernandez,hernandez56@gmail.com,Germany,Electronic,Digital,1,16,11,0,Yes
QEV-37451-946,01/08/2020,21539-63283-UT9,K-T-2,Fan,5,Smith,smith56@gmail.com,UK,Electronic,,32,16,11,0,Yes
QEV-37451-947,02/12/2019,21539-63283-UT10,O-P-2,Laptop,8,Johnson,johnson56@gmail.com,Dubi,Electronic,Core i5,70,19,14,0,Yes
QEV-37451-948,03/12/2019,21539-63283-UT11,R-M-3,Blub,2,Barnes,barnes56@gmail.com,UK,Electronic,Digital,12,13,8,3,Yes
QEV-37451-949,04/12/2019,21539-63283-UT12,G-T-8,AC,9,Johnson,johnson56@gmail.com,UK,Japan Electronic,,340,20,15,0,Yes
QEV-37451-950,05/12/2019,21539-63283-UT13,H-T-9,Phone,1,Hernandez,hernandez56@gmail.com,Dubi,Electronic,Ipone,2,12,7,4,NO
QEV-37451-951,06/12/2019,21539-63283-UT14,R-M-1,Washing Machine,6,Smith,smith56@gmail.com,Italy,Japan Electronic,Digital,500,17,12,0,NO
QEV-37451-952,07/12/2019,21539-63283-UT15,B-N-9,AC,1,Johnson,johnson56@gmail.com,Germany,Japan Electronic,,349,12,7,4,NO
QEV-37451-953,08/12/2019,21539-63283-UT16,H-T-9,Blub,8,Barnes,barnes56@gmail.com,Dubi,Electronic,Digital,12,19,14,0,NO
QEV-37451-954,09/12/2019,21539-63283-UT17,L-W-7,Blub,2,Smith,smith56@gmail.com,uk,Electronic,Digital,12,13,8,3,NO
QEV-37451-955,10/12/2019,21539-63283-UT18,O-P-2,AC,9,Hernandez,hernandez56@gmail.com,Germany,Japan Electronic,,356,20,15,0,NO
QEV-37451-956,11/12/2021,21539-63283-UT19,B-N-9,Blub,3,Johnson,johnson56@gmail.com,Pakistan,Electronic,Digital,12,14,9,2,NO
QEV-37451-957,12/12/2019,21539-63283-UT20,R-M-3,Mouse,7,Zai,zai56@gmail.com,Iceland,Electronic,Digital,1,18,13,0,NO
QEV-37451-958,13/12/2019,21539-63283-UT21,K-T-2,AC,2,Rose,rose56@gmail.com,Canada,Japan Electronic,,345,13,8,3,NO
QEV-37451-959,14/12/2019,21539-63283-UT22,Z-T-3,Washing Machine,7,Lily,lily56@gmail.com,UK,Japan Electronic,Digital,500,18,13,0,NO
QEV-37451-960,15/12/2019,21539-63283-UT23,R-J-4,AC,3,Rean,rean56@gmail.com,Italy,Japan Electronic,,456,14,9,2,Yes
QEV-37451-961,16/12/2021,21539-63283-UT24,G-T-8,Fan,5,Fadi,fadi56@gmail.com,Germany,Electronic,Digital,32,16,11,0,Yes
QEV-37451-962,17/12/2019,21539-63283-UT25,H-T-9,Laptop,2,Snobr,snobr56@gmail.com,Dubi,Electronic,Core i5,70,13,8,3,Yes
QEV-37451-963,18/12/2019,21539-63283-UT26,R-M-1,AC,8,Robin,robin56@gmail.com,Italy,Japan Electronic,,345,19,14,0,NO
QEV-37451-964,19/12/2019,21539-63283-UT27,O-P-2,Washing Machine,8,Lone,lone56@gmail.com,Germany,Germany ,Digital,500,19,14,0,Yes
QEV-37451-965,20/12/2019,21539-63283-UT28,R-J-4,Phone,2,Ben,ben56@gmail.com,UK,Electronic,Android,2,13,8,3,Yes
QEV-37451-966,21/12/2019,21539-63283-UT29,K-T-2,AC,9,Ten,ten56@gmail.com,UK,Germany ,,345,20,15,0,Yes
QEV-37451-967,22/12/2019,21539-63283-UT30,B-N-9,AC,3,Iron ,iron56@gmail.com,Canada,Germany ,,345,14,9,2,Yes
QEV-37451-968,23/12/2019,21539-63283-UT31,H-T-9,AC,6,Thor,thor56@gmail.com,Germany,Germany ,,345,17,12,0,Yes
QEV-37451-969,24/12/2019,21539-63283-UT32,R-M-3,AC,1,Shuzka,shuzka56@gmail.com,UK,Japan Electronic,,345,12,7,4,Yes
QEV-37451-970,25/12/2019,21539-63283-UT33,R-J-4,Mouse,6,Nobita,nobita56@gmail.com,UK,Electronic,Digital,1,17,12,0,Yes
QEV-37451-971,26/12/2019,21539-63283-UT34,G-T-8,AC,2,Gian,gian56@gmail.com,Germany,Japan Electronic,,340,13,8,3,Yes
QEV-37451-972,27/12/2019,21539-63283-UT35,B-N-9,AC,8,Sunio,sunio56@gmail.com,UK,Japan Electronic,,345,19,14,0,Yes
QEV-37451-973,28/12/2019,21539-63283-UT36,I-O-2,Blub,2,Dora,dora56@gmail.com,Italy,Electronic,Digital,12,13,8,3,Yes
QEV-37451-974,29/12/2019,21539-63283-UT37,L-W-7,AC,5,Dorien,dorien56@gmail.com,Pakistan,Japan Electronic,,340,16,11,0,Yes
QEV-37451-975,30/12/2019,21539-63283-UT38,K-T-2,AC,3,Danyal,danyal56@gmail.com,Iceland,Japan Electronic,,345,14,9,2,Yes
QEV-37451-976,31/12/2019,21539-63283-UT39,O-P-2,Camera,3,Zaid,zaid56@gmail.com,Germany,Electronic,Digital,32,14,9,2,Yes
QEV-37451-977,01/01/2020,21539-63283-UT40,Z-T-3,Phone,8,Zawar,zawar56@gmail.com,UK,Electronic,Ipone,2,19,14,0,Yes
QEV-37451-978,02/01/2020,21539-63283-UT41,R-M-1,Laptop,2,Zeshan ,zeshan56@gmail.com,UK,Exported ,Core i5,70,13,8,3,Yes
QEV-37451-979,03/01/2020,21539-63283-UT42,B-N-9,AC,7,Mosa,mosa56@gmail.com,Canada,Electronic,,345,18,13,0,NO
QEV-37451-980,04/01/2020,21539-63283-UT43,H-T-9,Blub,3,Arham,arham56@gmail.com,UK,Electronic,Digital,2,14,9,2,NO
QEV-37451-981,05/01/2020,21539-63283-UT44,K-T-2,Blub,4,Ahad,ahad56@gmail.com,Dubi,Electronic,Digital,2,15,10,1,NO
QEV-37451-982,06/01/2022,21539-63283-UT45,R-J-4,AC,4,Najam ,najam56@gmail.com,Germany,Electronic,,345,15,10,1,NO
QEV-37451-983,07/01/2020,21539-63283-UT46,L-W-7,Blub,1,Rehman ,rehman56@gmail.com,Pakistan,Electronic,Digital,2,12,7,4,Yes
QEV-37451-984,08/01/2020,21539-63283-UT47,G-T-8,Washing Machine,6,Daud,daud56@gmail.com,Italy,Electronic,Digital,500,17,12,0,NO
QEV-37451-985,09/01/2020,21539-63283-UT48,O-P-2,Mouse,2,Qamar,qamar56@gmail.com,Dubi,Electronic,Digital,1,13,8,3,Yes
QEV-37451-986,10/01/2022,21539-63283-UT49,K-T-2,tv,0,Skinder,skinder56@gmail.com,UK,Electronic,full size,661,11,6,5,NO
QEV-37451-987,11/01/2020,21539-63283-UT50,Z-T-3,tv,2,Shahbaz,shahbaz56@gmail.com,Dubi,Electronic,full size,661,13,8,3,Yes
QEV-37451-988,12/01/2020,21539-63283-UT51,B-N-9,AC,5,Danyal,danyal56@gmail.com,Germany,Electronic,,345,16,11,0,NO
QEV-37451-989,13/01/2024,21539-63283-UT52,H-T-9,Phone,2,Subhan,subhan56@gmail.com,Dubi,Electronic,Ipone,2,13,8,3,Yes
QEV-37451-990,14/01/2023,21539-63283-UT53,R-M-1,Camera,7,Shan,shan56@gmail.com,Iceland,Electronic,Digital,32,18,13,0,NO
QEV-37451-991,15/01/2022,21539-63283-UT54,R-J-4,Fan,2,Roman,roman56@gmail.com,Canada,Electronic,Digital,42,13,8,3,Yes
QEV-37451-992,16/01/2022,21539-63283-UT55,I-O-2,AC,9,Tayyab,tayyab56@gmail.com,Italy,Electronic,,345,20,15,0,NO
QEV-37451-993,17/01/2023,21539-63283-UT56,R-M-3,Laptop,3,Kashif,kashif56@gmail.com,UK,Electronic,Core i5,77,14,9,2,Yes
QEV-37451-994,18/01/2023,21539-63283-UT57,R-J-4,Laptop,1,Ali,ali56@gmail.com,Germany,Electronic,Core i5,77,12,7,4,NO
QEV-37451-995,19/01/2023,21539-63283-UT58,H-T-9,tv,5,Vivi,vivi56@gmail.com,UK,Electronic,full size,555,16,11,0,Yes
QEV-37451-996,20/01/2020,21539-63283-UT59,K-T-2,Laptop,9,Ahsan,ahsan56@gmail.com,Dubi,Electronic,Core i5,77,20,15,0,NO
QEV-37451-997,21/01/2023,21539-63283-UT60,B-N-9,Laptop,2,Ahad mir,ahad mir56@gmail.com,UK,Electronic,Core i5,77,13,8,3,Yes
QEV-37451-998,22/01/2020,21539-63283-UT61,R-M-3,AC,9,Sarmad ,sarmad56@gmail.com,UK,Electronic,,345,20,15,0,NO
QEV-37451-999,23/01/2020,21539-63283-UT62,G-T-8,tv,4,Moin ,moin56@gmail.com,Germany,Electronic,,345,15,10,1,Yes
QEV-37451-1000,24/01/2020,21539-63283-UT63,O-P-2,AC,4,Zoi,zoi56@gmail.com,Canada,Electronic,,345,15,10,1,NO
QEV-37451-1001,25/01/2024,21539-63283-UT64,L-W-7,AC,2,Zuni,zuni56@gmail.com,Germany,Electronic,,345,13,8,3,Yes
QEV-37451-1002,26/01/2024,21539-63283-UT65,Z-T-3,AC,4,Zahid,zahid56@gmail.com,UK,Electronic,,345,15,10,1,NO
QEV-37451-1003,27/01/2024,21539-63283-UT66,B-N-9,Mouse,2,Zahr,zahr56@gmail.com,Italy,Electronic,Digital,1,13,8,3,Yes
QEV-37451-1004,28/01/2024,21539-63283-UT67,H-T-9,AC,2,Zht,zht56@gmail.com,UK,Electronic,,345,13,8,3,NO
QEV-37451-1005,29/01/2024,21539-63283-UT68,K-T-2,AC,3,Zubair,zubair56@gmail.com,Pakistan,Electronic,,345,14,9,2,Yes
QEV-37451-1006,30/01/2024,21539-63283-UT69,R-M-1,AC,6,Ahsn,ahsn56@gmail.com,Dubi,Electronic,,345,17,12,0,NO
QEV-37451-1007,31/01/2024,21539-63283-UT70,R-M-3,AC,2,Ali,ali56@gmail.com,Iceland,Electronic,,345,13,8,3,Yes
QEV-37451-1008,01/02/2024,21539-63283-UT71,O-P-2,tv,4,Ameer,ameer56@gmail.com,Germany,Electronic,,345,15,10,1,NO
QEV-37451-1009,02/02/2024,21539-63283-UT72,B-N-9,Washing Machine,2,Anas,anas56@gmail.com,UK,Electronic,Digital,345,13,8,3,NO
QEV-37451-1010,03/02/2024,21539-63283-UT73,H-T-9,tv,3,Artm,artm56@gmail.com,Italy,Electronic,Digital,555,14,9,2,NO
QEV-37451-1011,04/02/2024,21539-63283-UT74,R-J-4,Blub,4,Ahthsam,ahthsam56@gmail.com,Canada,Electronic,Digital,12,15,10,1,Yes
QEV-37451-1012,05/02/2024,21539-63283-UT75,Z-T-3,tv,4,Atheshma,atheshma56@gmail.com,Dubi,Electronic,full size,555,15,10,1,Yes
QEV-37451-1013,06/02/2024,21539-63283-UT76,O-P-2,Blub,4,Rehman ,rehman56@gmail.com,UK,Electronic,Digital,12,15,10,1,Yes
QEV-37451-1014,07/02/2024,21539-63283-UT77,K-T-2,Washing Machine,1,Razi,razi56@gmail.com,UK,Electronic,Digital,550,12,7,4,Yes
QEV-37451-1015,08/02/2025,21539-63283-UT78,R-J-4,Fan,4,Qut,qut56@gmail.com,Germany,Electronic,,42,15,10,1,Yes
QEV-37451-1016,09/02/2020,21539-63283-UT79,R-M-3,Phone,2,Quni,quni56@gmail.com,UK,Electronic,Ipone,2,13,8,3,Yes
QEV-37451-1017,10/02/2025,21539-63283-UT80,I-O-2,tv,4,Shot,shot56@gmail.com,Italy,Electronic,Digital,555,15,10,1,Yes
QEV-37451-1018,11/02/2025,21539-63283-UT81,L-W-7,Phone,2,Sthoy,sthoy56@gmail.com,Germany,Electronic,Ipone,2,13,8,3,Yes
QEV-37451-1019,12/02/2025,21539-63283-UT82,G-T-8,Phone,3,Stokey,stokey56@gmail.com,Pakistan,Electronic,Ipone,2,14,9,2,Yes
QEV-37451-1020,13/02/2025,21539-63283-UT83,R-M-1,AC,2,dath,dath56@gmail.com,Dubi,Electronic,,345,13,8,3,Yes
QEV-37451-1021,14/02/2025,21539-63283-UT84,B-N-9,AC,3,Wood,wood56@gmail.com,Iceland,Electronic,,345,14,9,2,Yes
QEV-37451-1022,15/02/2025,21539-63283-UT85,H-T-9,Mouse,2,Arzoo,arzoo56@gmail.com,UK,Electronic,Digital,2,13,8,3,NO
QEV-37451-1023,16/02/2025,21539-63283-UT86,R-J-4,tv,2,Ansa,ansa56@gmail.com,Italy,Electronic,full size,555,13,8,3,NO
QEV-37451-1024,17/02/2024,21539-63283-UT87,O-P-2,AC,2,Anas,anas56@gmail.com,Dubi,Electronic,,345,13,8,3,NO
QEV-37451-1025,18/02/2024,21539-63283-UT88,R-M-3,Washing Machine,2,Iqra,iqra56@gmail.com,Canada,Electronic,Digital,550,13,8,3,NO
QEV-37451-1026,19/02/2024,21539-63283-UT89,K-T-2,Washing Machine,2,Momina,momina56@gmail.com,Italy,Electronic,Digital,550,13,8,3,NO
QEV-37451-1027,20/02/2025,21539-63283-UT90,Z-T-3,tv,2,Khalil,khalil56@gmail.com,UK,Electronic,full size,555,13,8,3,NO
QEV-37451-1028,21/02/2024,21539-63283-UT91,R-J-4,Phone,7,Tanveer,tanveer56@gmail.com,Germany,Electronic,Android,2,18,13,0,Yes
QEV-37451-1029,22/02/2025,21539-63283-UT92,O-P-2,Laptop,3,Minha,minha56@gmail.com,UK,Electronic,Core i5,77,14,9,2,Yes
QEV-37451-1030,23/02/2020,21539-63283-UT93,K-T-2,AC,5,Minhal,minhal56@gmail.com,Dubi,Electronic,,555,16,11,0,Yes
QEV-37451-1031,24/02/2020,21539-63283-UT94,B-N-9,Fan,2,Amna,amna56@gmail.com,Canada,Electronic,,42,13,8,3,Yes
QEV-37451-1032,25/02/2020,21539-63283-UT95,I-O-2,Blub,3,Aeman,aeman56@gmail.com,Italy,Electronic,Digital,12,14,9,2,NO
QEV-37451-1033,26/02/2020,21539-63283-UT96,G-T-8,AC,1,Afifa,afifa56@gmail.com,UK,Electronic,,454,12,7,4,Yes
QEV-37451-1034,27/02/2020,21539-63283-UT97,R-M-1,Laptop,8,Aliza,aliza56@gmail.com,UK,Electronic,Core i5,77,19,14,0,Yes
QEV-37451-1035,28/02/2020,21539-63283-UT98,R-J-4,AC,3,Anzeela,anzeela56@gmail.com,Pakistan,Electronic,,556,14,9,2,NO
